state,day,feat,value,rank.states,1,2,3,4,5
Alabama,2020-03-05,0,381,4,because of the,online,right now .,situation,china
Alabama,2020-03-05,36,545,3,media,bullshit,information,it would be,scare
Alabama,2020-03-05,48,601,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-05,73,584,2,cure,world,made,imagine,ebola
Alabama,2020-03-05,93,367,5,#iran,thread,died,die,in 
Alabama,2020-03-06,0,394,4,because of the,online,right now .,situation,china
Alabama,2020-03-06,36,513,3,media,bullshit,information,it would be,scare
Alabama,2020-03-06,48,578,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-06,56,371,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-06,73,529,2,cure,world,made,imagine,ebola
Alabama,2020-03-07,0,268,5,because of the,online,right now .,situation,china
Alabama,2020-03-07,36,448,3,media,bullshit,information,it would be,scare
Alabama,2020-03-07,48,488,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-07,73,478,2,cure,world,made,imagine,ebola
Alabama,2020-03-07,93,277,4,#iran,thread,died,die,in 
Alabama,2020-03-08,0,320,4,because of the,online,right now .,situation,china
Alabama,2020-03-08,36,362,3,media,bullshit,information,it would be,scare
Alabama,2020-03-08,48,434,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-08,56,292,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-08,73,391,2,cure,world,made,imagine,ebola
Alabama,2020-03-09,0,354,4,because of the,online,right now .,situation,china
Alabama,2020-03-09,36,488,3,media,bullshit,information,it would be,scare
Alabama,2020-03-09,48,544,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-09,73,507,2,cure,world,made,imagine,ebola
Alabama,2020-03-09,93,315,5,#iran,thread,died,die,in 
Alabama,2020-03-10,0,446,4,because of the,online,right now .,situation,china
Alabama,2020-03-10,36,544,3,media,bullshit,information,it would be,scare
Alabama,2020-03-10,48,615,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-10,56,396,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-10,73,555,2,cure,world,made,imagine,ebola
Alabama,2020-03-11,0,448,4,because of the,online,right now .,situation,china
Alabama,2020-03-11,36,555,3,media,bullshit,information,it would be,scare
Alabama,2020-03-11,48,623,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-11,73,580,2,cure,world,made,imagine,ebola
Alabama,2020-03-11,93,404,5,#iran,thread,died,die,in 
Alabama,2020-03-12,0,433,4,because of the,online,right now .,situation,china
Alabama,2020-03-12,36,565,3,media,bullshit,information,it would be,scare
Alabama,2020-03-12,48,598,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-12,73,582,2,cure,world,made,imagine,ebola
Alabama,2020-03-12,93,396,5,#iran,thread,died,die,in 
Alabama,2020-03-13,0,1836,4,because of the,online,right now .,situation,china
Alabama,2020-03-13,36,2016,3,media,bullshit,information,it would be,scare
Alabama,2020-03-13,48,2349,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-13,56,1578,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-13,73,2178,2,cure,world,made,imagine,ebola
Alabama,2020-03-14,0,1329,4,because of the,online,right now .,situation,china
Alabama,2020-03-14,36,1476,3,media,bullshit,information,it would be,scare
Alabama,2020-03-14,48,1692,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-14,73,1647,2,cure,world,made,imagine,ebola
Alabama,2020-03-14,93,1107,5,#iran,thread,died,die,in 
Alabama,2020-03-15,0,1341,4,because of the,online,right now .,situation,china
Alabama,2020-03-15,36,1518,3,media,bullshit,information,it would be,scare
Alabama,2020-03-15,48,1728,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-15,56,1134,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-15,73,1617,2,cure,world,made,imagine,ebola
Alabama,2020-03-16,0,1569,4,because of the,online,right now .,situation,china
Alabama,2020-03-16,36,1869,2,media,bullshit,information,it would be,scare
Alabama,2020-03-16,48,1971,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-16,56,1281,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-16,73,1860,3,cure,world,made,imagine,ebola
Alabama,2020-03-17,0,1605,4,because of the,online,right now .,situation,china
Alabama,2020-03-17,36,2028,3,media,bullshit,information,it would be,scare
Alabama,2020-03-17,48,2190,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-17,56,1248,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-17,73,2082,2,cure,world,made,imagine,ebola
Alabama,2020-03-18,0,1737,4,because of the,online,right now .,situation,china
Alabama,2020-03-18,36,1842,3,media,bullshit,information,it would be,scare
Alabama,2020-03-18,48,2085,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-18,56,1395,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-18,73,2010,2,cure,world,made,imagine,ebola
Alabama,2020-03-19,0,1182,4,because of the,online,right now .,situation,china
Alabama,2020-03-19,36,1293,2,media,bullshit,information,it would be,scare
Alabama,2020-03-19,48,1408,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-19,56,998,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-19,73,1267,3,cure,world,made,imagine,ebola
Alabama,2020-03-20,0,475,4,because of the,online,right now .,situation,china
Alabama,2020-03-20,36,607,3,media,bullshit,information,it would be,scare
Alabama,2020-03-20,48,678,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-20,56,406,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-20,73,622,2,cure,world,made,imagine,ebola
Alabama,2020-03-21,0,444,4,because of the,online,right now .,situation,china
Alabama,2020-03-21,36,562,3,media,bullshit,information,it would be,scare
Alabama,2020-03-21,48,632,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-21,56,357,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-21,73,594,2,cure,world,made,imagine,ebola
